Epoca,Iteracao,Erro_Quadratico
217,1,0.0191804568652557
217,2,0.005922342912934212
217,3,0.005438685815479275
217,4,0.0012140030698659459
218,1,0.0190358387123391
218,2,0.00586656107333624
218,3,0.005387798001383466
218,4,0.0012045532359815296
219,1,0.001198603390154617
219,2,0.0055579118424196015
219,3,0.01916191003745046
219,4,0.005321977441590856
220,1,0.005179597816537986
220,2,0.018912967234724756
220,3,0.0012145589655433602
220,4,0.005679738288242393
221,1,0.005500086199890187
221,2,0.0011589905334521739
221,3,0.005055688551507121
221,4,0.019020027703948346
222,1,0.01841191378355422
222,2,0.0056855642051385335
222,3,0.001194319390195353
222,4,0.005195408490588874
223,1,0.005059298282819621
223,2,0.005356074829429265
223,3,0.01866288542877808
223,4,0.001167158253825505
224,1,0.005383982467528909
224,2,0.004963262586209345
224,3,0.018497778964544707
224,4,0.0011606804642197916
225,1,0.017959121191146826
225,2,0.005560028987844858
225,3,0.0011718737106523984
225,4,0.0050763308626936
226,1,0.004946018579877289
226,2,0.0011275597060582223
226,3,0.005221507260510342
226,4,0.01823928249945677
227,1,0.017673668531299896
227,2,0.001180815150037876
227,3,0.005058665642762988
227,4,0.0053899885191667175
228,1,0.00113210850173923
228,2,0.00485095488690682
228,3,0.01774704490858446
228,4,0.005348974065980164
229,1,0.005188750936179427
229,2,0.004776477054516799
229,3,0.0010855563767340286
229,4,0.017802057864352565
230,1,0.004801937643798606
230,2,0.017417019820775925
230,3,0.005297131165137506
230,4,0.0011171130013234302
231,1,0.004765475377890392
231,2,0.017283322913073714
231,3,0.0011321320840166548
231,4,0.005233642919504011
232,1,0.0050799752036377556
232,2,0.01718675591736064
232,3,0.004829191563656564
232,4,0.0011030956596316357
233,1,0.01686712300822402
233,2,0.005233758656927669
233,3,0.004787841141549866
233,4,0.0010952609985130327
234,1,0.00500413745638064
234,2,0.004600483189012933
234,3,0.0010532975024773216
234,4,0.0171168659102413
235,1,0.004624200222379918
235,2,0.016756900000246155
235,3,0.005105055892775914
235,4,0.001082848227019464
236,1,0.004590058537159147
236,2,0.004886158299453341
236,3,0.016809805145994554
236,4,0.0010771318950591041
237,1,0.004559551398923653
237,2,0.016496583129066215
237,3,0.0010909924396416684
237,4,0.005015002593492862
238,1,0.004873394795903891
238,2,0.0010461472139806174
238,3,0.004459202685906221
238,4,0.016582573002706276
239,1,0.0010602593265569902
239,2,0.004481148482880454
239,3,0.004775338357522071
239,4,0.016447153173718754
240,1,0.0044682420850882705
240,2,0.01611165276362654
240,3,0.0010727701575338534
240,4,0.00491859353601281
241,1,0.015860027594340756
241,2,0.004572176811675581
241,3,0.0010652656653674295
241,4,0.004879697157567377
242,1,0.015754079009206796
242,2,0.0045339086703643575
242,3,0.0010579168478884547
242,4,0.004841648419523745
243,1,0.015648755782767615
243,2,0.0044964276958751655
243,3,0.004823620387380547
243,4,0.00103163656769224
244,1,0.0043285800681789575
244,2,0.015673990838240164
244,3,0.0047893662297213415
244,4,0.0010255064640838974
245,1,0.015433284282929654
245,2,0.004802412622250953
245,3,0.0043783675826106865
245,4,0.0010187813635559393
246,1,0.015330700405863004
246,2,0.0010460979737804904
246,3,0.0043770800898385856
246,4,0.004698257228279983
247,1,0.015228610685945512
247,2,0.004730012933252677
247,3,0.00102061771909203
247,4,0.004294943092037905
248,1,0.004199921082368091
248,2,0.015250655792525818
248,3,0.001017840253041018
248,4,0.00463151182187459
249,1,0.015020447421079447
249,2,0.0010262814430298834
249,3,0.0042792521193941715
249,4,0.004598024690544811
250,1,0.004478169336743992
250,2,0.004096369380224129
250,3,0.0009591968369344029
250,4,0.015219348960501608
251,1,0.01480645006966337
251,2,0.004603473085358425
251,3,0.0009970738817739629
251,4,0.004175535331028894
252,1,0.000978861570722596
252,2,0.014738767406608995
252,3,0.004553017717615006
252,4,0.004144952498154492
253,1,0.0043923164004001465
253,2,0.0147560104057474
253,3,0.004130639245883001
253,4,0.0009717121622885111
254,1,0.0009678060542529176
254,2,0.01453759603224624
254,3,0.004493681402985098
254,4,0.004086844736522124
255,1,0.01441388957849675
255,2,0.004478752874896911
255,3,0.0009736081320049497
255,4,0.004057031422488473
256,1,0.0043070342777442655
256,2,0.014459382341426205
256,3,0.004043389615272199
256,4,0.0009550580902143881
257,1,0.003945697008744581
257,2,0.004242102681032579
257,3,0.0009232729274376164
257,4,0.014494481120346696
258,1,0.014115382594273147
258,2,0.004397665217028938
258,3,0.0009581487953147561
258,4,0.003977468688285047
259,1,0.003895365597177168
259,2,0.014132907451001115
259,3,0.0009557386053315338
259,4,0.004311630281238249
260,1,0.0009363344359080513
260,2,0.004190635598049522
260,3,0.003819403617731211
260,4,0.014195408986217397
261,1,0.0038487950006060143
261,2,0.00091984008305303
261,3,0.013960474129967237
261,4,0.004262961655673352
262,1,0.004159383343272661
262,2,0.0009125623313041388
262,3,0.003774764062858177
262,4,0.013994861225329685
263,1,0.0009231236268599639
263,2,0.013663994578900936
263,3,0.003894138507217239
263,4,0.0042127654690801725
264,1,0.0009178351069633947
264,2,0.0037650145896044444
264,3,0.013678972432608575
264,4,0.004187146354062907
265,1,0.0037536576129821395
